Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
209,1714054490.500705,1714054492.179682,TCP,10.0.2.10,51802,156.146.59.6,9002,,P,T1585.104,0.0,0.0
210,1714054490.618822,1714054492.179612,TCP,156.146.59.6,9002,10.0.2.10,51802,,,,,
211,1714054489.898604,1714054492.179721,TCP,10.0.2.10,51801,156.146.59.6,9002,,P,T1585.105,0.0,0.0
212,1714054490.013056,1714054492.179948,TCP,156.146.59.6,9002,10.0.2.10,51801,,,,,
213,1714054482.260535,1714054492.179763,TCP,10.0.2.10,51796,156.146.59.6,9002,,P,T1585.106,0.0,0.0
214,1714054482.382345,1714054492.179948,TCP,156.146.59.6,9002,10.0.2.10,51796,,,,,
215,1714054493.491952,1714054502.088223,TCP,10.0.2.10,51803,156.146.59.6,9002,,P,T1585.107,0.0,0.0
216,1714054493.614632,1714054502.088455,TCP,156.146.59.6,9002,10.0.2.10,51803,,,,,
217,1714054493.823249,1714054502.202116,TCP,10.0.2.10,51804,156.146.59.6,9002,,P,T1585.108,0.0,0.0
218,1714054493.938773,1714054502.201957,TCP,156.146.59.6,9002,10.0.2.10,51804,,,,,
219,1714054515.549332,1714054522.224321,TCP,10.0.2.10,51806,156.146.59.6,9002,,P,T1585.109,0.0,0.0
220,1714054515.668525,1714054522.224283,TCP,156.146.59.6,9002,10.0.2.10,51806,,,,,
221,1714054514.517843,1714054522.226909,TCP,10.0.2.10,51805,156.146.59.6,9002,,P,T1585.110,0.0,0.0
222,1714054514.637099,1714054522.226892,TCP,156.146.59.6,9002,10.0.2.10,51805,,,,,
223,1714054524.631742,1714054524.86567,TCP,10.0.2.10,51810,156.146.59.6,9002,,P,T1585.111,0.0,0.0
224,1714054524.74808,1714054524.86563,TCP,156.146.59.6,9002,10.0.2.10,51810,,,,,
225,1714054524.631406,1714054524.867984,TCP,10.0.2.10,51808,156.146.59.6,9002,,P,T1585.112,0.0,0.0
226,1714054524.751297,1714054524.867967,TCP,156.146.59.6,9002,10.0.2.10,51808,,,,,
227,1714054524.631589,1714054524.89307,TCP,10.0.2.10,51809,156.146.59.6,9002,,P,T1585.113,0.0,0.0
228,1714054524.763117,1714054524.893315,TCP,156.146.59.6,9002,10.0.2.10,51809,,,,,
229,1714054528.122328,1714054532.249919,TCP,10.0.2.10,51811,156.146.59.6,9002,,P,T1585.114,0.0,0.0
230,1714054528.240741,1714054532.249879,TCP,156.146.59.6,9002,10.0.2.10,51811,,,,,
231,1714054524.319438,1714054532.254441,TCP,10.0.2.10,51807,156.146.59.6,9002,,P,T1585.115,0.0,0.0
232,1714054524.439798,1714054532.254659,TCP,156.146.59.6,9002,10.0.2.10,51807,,,,,
233,1714054532.140987,1714054542.261499,TCP,10.0.2.10,51812,156.146.59.6,9002,,P,T1585.116,0.0,0.0
234,1714054532.254659,1714054542.261462,TCP,156.146.59.6,9002,10.0.2.10,51812,,,,,
235,1714054549.959585,1714054552.288248,TCP,10.0.2.10,51813,156.146.59.6,9002,,P,T1585.117,0.0,0.0
236,1714054550.088535,1714054552.288195,TCP,156.146.59.6,9002,10.0.2.10,51813,,,,,
237,1714053965.417518,1714053968.6873,TCP,10.0.2.10,51287,156.146.59.6,9002,,P,T1585.118,0.0,0.0
238,1714053965.527733,1714053968.687288,TCP,156.146.59.6,9002,10.0.2.10,51287,,,,,
239,1714053967.608442,1714053969.329598,TCP,10.0.2.10,51297,156.146.59.6,9002,,P,T1585.119,0.0,0.0
240,1714053967.726461,1714053969.282585,TCP,156.146.59.6,9002,10.0.2.10,51297,,,,,
241,1714053968.69259,1714053972.847695,TCP,10.0.2.10,51299,156.146.59.6,9002,,P,T1585.120,0.0,0.0
242,1714053968.810559,1714053972.800162,TCP,156.146.59.6,9002,10.0.2.10,51299,,,,,
243,1714054581.284209,1714054582.336744,TCP,10.0.2.10,51817,156.146.59.6,9002,,P,T1585.121,0.0,0.0
244,1714054581.404491,1714054582.336706,TCP,156.146.59.6,9002,10.0.2.10,51817,,,,,
245,1714053966.584521,1714053973.362562,TCP,10.0.2.10,51289,156.146.59.6,9002,,P,T1585.122,0.0,0.0
246,1714053966.692208,1714053973.308542,TCP,156.146.59.6,9002,10.0.2.10,51289,,,,,
247,1714053966.586253,1714053981.922544,TCP,10.0.2.10,51290,156.146.59.6,9002,,P,T1585.123,0.0,0.0
248,1714053966.709499,1714053981.922505,TCP,156.146.59.6,9002,10.0.2.10,51290,,,,,
249,1714053972.684874,1714053982.461775,TCP,10.0.2.10,51302,156.146.59.6,9002,,P,T1585.124,0.0,0.0
250,1714053972.804178,1714053982.461764,TCP,156.146.59.6,9002,10.0.2.10,51302,,,,,
251,1714053982.465302,1714053983.320399,TCP,10.0.2.10,51311,156.146.59.6,9002,,P,T1585.125,0.0,0.0
252,1714053982.580482,1714053983.268975,TCP,156.146.59.6,9002,10.0.2.10,51311,,,,,
253,1714053983.290897,1714053983.969645,TCP,10.0.2.10,51317,156.146.59.6,9002,,P,T1585.126,0.0,0.0
254,1714053983.408686,1714053983.897841,TCP,156.146.59.6,9002,10.0.2.10,51317,,,,,
255,1714053992.074586,1714053993.066851,TCP,10.0.2.10,51323,156.146.59.6,9002,,P,T1585.127,0.0,0.0
256,1714053992.197906,1714053993.066822,TCP,156.146.59.6,9002,10.0.2.10,51323,,,,,
257,1714054576.044913,1714054587.326467,TCP,10.0.2.10,51816,156.146.59.6,9002,,P,T1585.128,0.0,0.0
258,1714054576.162823,1714054587.30941,TCP,156.146.59.6,9002,10.0.2.10,51816,,,,,
