"Flow Number, Seq",Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
228,1706872381.460108,1706872401.4849987,UDP,10.10.1.9,44121.0,10.10.1.6,53.0,,P,T1071.004,1.0,1.0
229,1706872418.4127584,1706872418.4127584,UDP,10.10.1.9,32863.0,10.10.1.6,53.0,,,,,
230,1706872423.4178147,1706872423.4178147,UDP,10.10.1.9,39883.0,10.10.1.4,53.0,,,,1.0,1.0
231,1706872423.4236896,1706872423.4236896,UDP,10.10.1.4,53.0,10.10.1.9,39883.0,,,,1.0,1.0
232,1706872423.4237552,1706872423.4237552,UDP,10.10.1.9,44893.0,10.10.1.6,53.0,,,,,
233,1706872428.4252813,1706872428.4252813,UDP,10.10.1.9,46262.0,10.10.1.4,53.0,,,,1.0,1.0
234,1706872428.4305103,1706872428.4305103,UDP,10.10.1.4,53.0,10.10.1.9,46262.0,,,,1.0,1.0
235,1706872428.430581,1706872428.430581,UDP,10.10.1.9,51029.0,10.10.1.6,53.0,,,,,
236,1706872433.4356282,1706872433.4356282,UDP,10.10.1.9,53358.0,10.10.1.4,53.0,,,,1.0,1.0
237,1706872433.4417224,1706872433.4417224,UDP,10.10.1.4,53.0,10.10.1.9,53358.0,,,,1.0,1.0
